Time_Step,source,target
0,0,1
0,1,0
0,0,38
0,38,0
0,1,2
0,2,1
0,1,24
0,24,1
0,2,3
0,3,2
0,2,17
0,17,2
0,3,4
0,4,3
0,3,13
0,13,3
0,4,5
0,5,4
0,4,7
0,7,4
0,5,6
0,6,5
0,5,10
0,10,5
0,6,7
0,7,6
0,7,8
0,8,7
0,8,38
0,38,8
0,9,10
0,10,9
0,9,12
0,12,9
0,12,13
0,13,12
0,13,14
0,14,13
0,14,15
0,15,14
0,15,16
0,16,15
0,15,18
0,18,15
0,15,20
0,20,15
0,15,23
0,23,15
0,16,17
0,17,16
0,16,26
0,26,16
0,20,21
0,21,20
0,21,22
0,22,21
0,22,23
0,23,22
0,22,35
0,35,22
0,24,25
0,25,24
0,25,26
0,26,25
0,25,27
0,27,25
0,25,28
0,28,25
0,27,28
0,28,27
0,1,29
0,29,1
0,5,30
0,30,5
0,9,31
0,31,9
0,11,10
0,10,11
0,11,12
0,12,11
0,18,19
0,19,18
0,18,32
0,32,18
0,19,33
0,33,19
0,21,34
0,34,21
0,24,36
0,36,24
0,28,37
0,37,28
1,0,1
1,1,0
1,0,38
1,38,0
1,1,2
1,2,1
1,1,24
1,24,1
1,2,3
1,3,2
1,2,17
1,17,2
1,3,4
1,4,3
1,3,13
1,13,3
1,4,5
1,5,4
1,4,7
1,7,4
1,5,6
1,6,5
1,5,10
1,10,5
1,6,7
1,7,6
1,7,8
1,8,7
1,8,38
1,38,8
1,9,10
1,10,9
1,9,12
1,12,9
1,12,13
1,13,12
1,13,14
1,14,13
1,14,15
1,15,14
1,15,16
1,16,15
1,15,18
1,18,15
1,15,20
1,20,15
1,15,23
1,23,15
1,16,17
1,17,16
1,16,26
1,26,16
1,20,21
1,21,20
1,21,22
1,22,21
1,22,23
1,23,22
1,22,35
1,35,22
1,24,25
1,25,24
1,25,26
1,26,25
1,25,27
1,27,25
1,25,28
1,28,25
1,27,28
1,28,27
1,1,29
1,29,1
1,5,30
1,30,5
1,9,31
1,31,9
1,11,10
1,10,11
1,11,12
1,12,11
1,18,19
1,19,18
1,18,32
1,32,18
1,19,33
1,33,19
1,21,34
1,34,21
1,24,36
1,36,24
1,28,37
1,37,28
2,0,1
2,1,0
2,0,38
2,38,0
2,1,2
2,2,1
2,1,24
2,24,1
2,2,3
2,3,2
2,2,17
2,17,2
2,3,4
2,4,3
2,3,13
2,13,3
2,4,5
2,5,4
2,4,7
2,7,4
2,5,6
2,6,5
2,5,10
2,10,5
2,6,7
2,7,6
2,7,8
2,8,7
2,8,38
2,38,8
2,9,10
2,10,9
2,9,12
2,12,9
2,12,13
2,13,12
2,13,14
2,14,13
2,14,15
2,15,14
2,15,16
2,16,15
2,15,18
2,18,15
2,15,20
2,20,15
2,15,23
2,23,15
2,16,17
2,17,16
2,16,26
2,26,16
2,20,21
2,21,20
2,21,22
2,22,21
2,22,23
2,23,22
2,22,35
2,35,22
2,24,25
2,25,24
2,25,26
2,26,25
2,25,27
2,27,25
2,25,28
2,28,25
2,27,28
2,28,27
2,1,29
2,29,1
2,5,30
2,30,5
2,9,31
2,31,9
2,11,10
2,10,11
2,11,12
2,12,11
2,18,19
2,19,18
2,18,32
2,32,18
2,19,33
2,33,19
2,21,34
2,34,21
2,24,36
2,36,24
2,28,37
2,37,28
3,0,1
3,1,0
3,0,38
3,38,0
3,1,2
3,2,1
3,1,24
3,24,1
3,2,3
3,3,2
3,2,17
3,17,2
3,3,4
3,4,3
3,3,13
3,13,3
3,4,5
3,5,4
3,4,7
3,7,4
3,5,6
3,6,5
3,5,10
3,10,5
3,6,7
3,7,6
3,7,8
3,8,7
3,8,38
3,38,8
3,9,10
3,10,9
3,9,12
3,12,9
3,12,13
3,13,12
3,13,14
3,14,13
3,14,15
3,15,14
3,15,16
3,16,15
3,15,18
3,18,15
3,15,20
3,20,15
3,15,23
3,23,15
3,16,17
3,17,16
3,16,26
3,26,16
3,20,21
3,21,20
3,21,22
3,22,21
3,22,23
3,23,22
3,22,35
3,35,22
3,24,25
3,25,24
3,25,26
3,26,25
3,25,27
3,27,25
3,25,28
3,28,25
3,27,28
3,28,27
3,1,29
3,29,1
3,5,30
3,30,5
3,9,31
3,31,9
3,11,10
3,10,11
3,11,12
3,12,11
3,18,19
3,19,18
3,18,32
3,32,18
3,19,33
3,33,19
3,21,34
3,34,21
3,24,36
3,36,24
3,28,37
3,37,28
4,0,1
4,1,0
4,0,38
4,38,0
4,1,2
4,2,1
4,1,24
4,24,1
4,2,3
4,3,2
4,2,17
4,17,2
4,3,4
4,4,3
4,3,13
4,13,3
4,4,5
4,5,4
4,4,7
4,7,4
4,5,6
4,6,5
4,5,10
4,10,5
4,6,7
4,7,6
4,7,8
4,8,7
4,8,38
4,38,8
4,9,10
4,10,9
4,9,12
4,12,9
4,12,13
4,13,12
4,13,14
4,14,13
4,14,15
4,15,14
4,15,16
4,16,15
4,15,18
4,18,15
4,15,20
4,20,15
4,15,23
4,23,15
4,16,17
4,17,16
4,16,26
4,26,16
4,20,21
4,21,20
4,21,22
4,22,21
4,22,23
4,23,22
4,22,35
4,35,22
4,24,25
4,25,24
4,25,26
4,26,25
4,25,27
4,27,25
4,25,28
4,28,25
4,27,28
4,28,27
4,1,29
4,29,1
4,5,30
4,30,5
4,9,31
4,31,9
4,11,10
4,10,11
4,11,12
4,12,11
4,18,19
4,19,18
4,18,32
4,32,18
4,19,33
4,33,19
4,21,34
4,34,21
4,24,36
4,36,24
4,28,37
4,37,28
5,0,1
5,1,0
5,0,38
5,38,0
5,1,2
5,2,1
5,1,24
5,24,1
5,2,3
5,3,2
5,2,17
5,17,2
5,3,4
5,4,3
5,3,13
5,13,3
5,4,5
5,5,4
5,4,7
5,7,4
5,5,6
5,6,5
5,5,10
5,10,5
5,6,7
5,7,6
5,7,8
5,8,7
5,8,38
5,38,8
5,9,10
5,10,9
5,9,12
5,12,9
5,13,14
5,14,13
5,14,15
5,15,14
5,15,16
5,16,15
5,15,18
5,18,15
5,15,20
5,20,15
5,15,23
5,23,15
5,16,17
5,17,16
5,16,26
5,26,16
5,20,21
5,21,20
5,21,22
5,22,21
5,22,23
5,23,22
5,22,35
5,35,22
5,24,25
5,25,24
5,25,26
5,26,25
5,25,27
5,27,25
5,25,28
5,28,25
5,27,28
5,28,27
5,1,29
5,29,1
5,5,30
5,30,5
5,9,31
5,31,9
5,11,10
5,10,11
5,11,12
5,12,11
5,18,19
5,19,18
5,18,32
5,32,18
5,19,33
5,33,19
5,21,34
5,34,21
5,24,36
5,36,24
5,28,37
5,37,28
6,0,1
6,1,0
6,0,38
6,38,0
6,1,2
6,2,1
6,1,24
6,24,1
6,2,3
6,3,2
6,2,17
6,17,2
6,3,4
6,4,3
6,3,13
6,13,3
6,4,5
6,5,4
6,4,7
6,7,4
6,5,6
6,6,5
6,5,10
6,10,5
6,6,7
6,7,6
6,7,8
6,8,7
6,8,38
6,38,8
6,9,10
6,10,9
6,9,12
6,12,9
6,12,13
6,13,12
6,13,14
6,14,13
6,14,15
6,15,14
6,15,16
6,16,15
6,15,18
6,18,15
6,15,20
6,20,15
6,15,23
6,23,15
6,16,17
6,17,16
6,16,26
6,26,16
6,20,21
6,21,20
6,21,22
6,22,21
6,22,23
6,23,22
6,22,35
6,35,22
6,24,25
6,25,24
6,25,26
6,26,25
6,25,27
6,27,25
6,25,28
6,28,25
6,27,28
6,28,27
6,1,29
6,29,1
6,5,30
6,30,5
6,9,31
6,31,9
6,11,10
6,10,11
6,11,12
6,12,11
6,18,19
6,19,18
6,18,32
6,32,18
6,19,33
6,33,19
6,21,34
6,34,21
6,24,36
6,36,24
6,28,37
6,37,28
7,0,1
7,1,0
7,0,38
7,38,0
7,1,2
7,2,1
7,1,24
7,24,1
7,2,3
7,3,2
7,2,17
7,17,2
7,3,4
7,4,3
7,3,13
7,13,3
7,4,5
7,5,4
7,4,7
7,7,4
7,5,6
7,6,5
7,5,10
7,10,5
7,6,7
7,7,6
7,7,8
7,8,7
7,8,38
7,38,8
7,9,10
7,10,9
7,9,12
7,12,9
7,12,13
7,13,12
7,13,14
7,14,13
7,14,15
7,15,14
7,15,16
7,16,15
7,15,18
7,18,15
7,15,20
7,20,15
7,15,23
7,23,15
7,16,17
7,17,16
7,16,26
7,26,16
7,20,21
7,21,20
7,21,22
7,22,21
7,22,23
7,23,22
7,22,35
7,35,22
7,24,25
7,25,24
7,25,26
7,26,25
7,25,27
7,27,25
7,25,28
7,28,25
7,27,28
7,28,27
7,1,29
7,29,1
7,5,30
7,30,5
7,9,31
7,31,9
7,11,10
7,10,11
7,11,12
7,12,11
7,18,19
7,19,18
7,18,32
7,32,18
7,19,33
7,33,19
7,21,34
7,34,21
7,24,36
7,36,24
7,28,37
7,37,28
8,0,1
8,1,0
8,0,38
8,38,0
8,1,2
8,2,1
8,1,24
8,24,1
8,2,3
8,3,2
8,2,17
8,17,2
8,3,4
8,4,3
8,3,13
8,13,3
8,4,5
8,5,4
8,4,7
8,7,4
8,5,6
8,6,5
8,5,10
8,10,5
8,6,7
8,7,6
8,7,8
8,8,7
8,8,38
8,38,8
8,9,10
8,10,9
8,9,12
8,12,9
8,12,13
8,13,12
8,13,14
8,14,13
8,14,15
8,15,14
8,15,16
8,16,15
8,15,18
8,18,15
8,15,20
8,20,15
8,15,23
8,23,15
8,16,17
8,17,16
8,16,26
8,26,16
8,20,21
8,21,20
8,21,22
8,22,21
8,22,23
8,23,22
8,22,35
8,35,22
8,24,25
8,25,24
8,25,26
8,26,25
8,25,27
8,27,25
8,25,28
8,28,25
8,27,28
8,28,27
8,1,29
8,29,1
8,5,30
8,30,5
8,9,31
8,31,9
8,11,10
8,10,11
8,11,12
8,12,11
8,18,19
8,19,18
8,18,32
8,32,18
8,19,33
8,33,19
8,21,34
8,34,21
8,24,36
8,36,24
8,28,37
8,37,28
9,0,1
9,1,0
9,0,38
9,38,0
9,1,2
9,2,1
9,1,24
9,24,1
9,2,3
9,3,2
9,2,17
9,17,2
9,3,4
9,4,3
9,3,13
9,13,3
9,4,5
9,5,4
9,4,7
9,7,4
9,5,6
9,6,5
9,5,10
9,10,5
9,6,7
9,7,6
9,7,8
9,8,7
9,8,38
9,38,8
9,9,10
9,10,9
9,9,12
9,12,9
9,12,13
9,13,12
9,13,14
9,14,13
9,14,15
9,15,14
9,15,16
9,16,15
9,15,18
9,18,15
9,15,20
9,20,15
9,15,23
9,23,15
9,16,17
9,17,16
9,16,26
9,26,16
9,20,21
9,21,20
9,21,22
9,22,21
9,22,23
9,23,22
9,22,35
9,35,22
9,24,25
9,25,24
9,25,26
9,26,25
9,25,27
9,27,25
9,25,28
9,28,25
9,27,28
9,28,27
9,1,29
9,29,1
9,5,30
9,30,5
9,9,31
9,31,9
9,11,10
9,10,11
9,11,12
9,12,11
9,18,19
9,19,18
9,18,32
9,32,18
9,19,33
9,33,19
9,21,34
9,34,21
9,24,36
9,36,24
9,28,37
9,37,28
10,0,1
10,1,0
10,0,38
10,38,0
10,1,2
10,2,1
10,1,24
10,24,1
10,2,3
10,3,2
10,2,17
10,17,2
10,3,4
10,4,3
10,3,13
10,13,3
10,4,5
10,5,4
10,4,7
10,7,4
10,5,6
10,6,5
10,5,10
10,10,5
10,6,7
10,7,6
10,7,8
10,8,7
10,8,38
10,38,8
10,9,10
10,10,9
10,9,12
10,12,9
10,12,13
10,13,12
10,13,14
10,14,13
10,14,15
10,15,14
10,15,16
10,16,15
10,15,18
10,18,15
10,15,20
10,20,15
10,15,23
10,23,15
10,16,17
10,17,16
10,16,26
10,26,16
10,20,21
10,21,20
10,21,22
10,22,21
10,22,23
10,23,22
10,22,35
10,35,22
10,24,25
10,25,24
10,25,26
10,26,25
10,25,27
10,27,25
10,25,28
10,28,25
10,27,28
10,28,27
10,1,29
10,29,1
10,5,30
10,30,5
10,9,31
10,31,9
10,11,10
10,10,11
10,11,12
10,12,11
10,18,19
10,19,18
10,18,32
10,32,18
10,19,33
10,33,19
10,21,34
10,34,21
10,24,36
10,36,24
10,28,37
10,37,28
11,0,1
11,1,0
11,0,38
11,38,0
11,1,2
11,2,1
11,1,24
11,24,1
11,2,3
11,3,2
11,2,17
11,17,2
11,3,4
11,4,3
11,3,13
11,13,3
11,4,5
11,5,4
11,4,7
11,7,4
11,5,6
11,6,5
11,5,10
11,10,5
11,6,7
11,7,6
11,7,8
11,8,7
11,8,38
11,38,8
11,9,10
11,10,9
11,9,12
11,12,9
11,12,13
11,13,12
11,13,14
11,14,13
11,14,15
11,15,14
11,15,16
11,16,15
11,15,18
11,18,15
11,15,20
11,20,15
11,15,23
11,23,15
11,16,17
11,17,16
11,16,26
11,26,16
11,20,21
11,21,20
11,21,22
11,22,21
11,22,23
11,23,22
11,22,35
11,35,22
11,24,25
11,25,24
11,25,26
11,26,25
11,25,27
11,27,25
11,25,28
11,28,25
11,27,28
11,28,27
11,1,29
11,29,1
11,5,30
11,30,5
11,9,31
11,31,9
11,11,10
11,10,11
11,11,12
11,12,11
11,18,19
11,19,18
11,18,32
11,32,18
11,19,33
11,33,19
11,21,34
11,34,21
11,24,36
11,36,24
11,28,37
11,37,28
12,0,1
12,1,0
12,0,38
12,38,0
12,1,2
12,2,1
12,1,24
12,24,1
12,2,3
12,3,2
12,2,17
12,17,2
12,3,4
12,4,3
12,3,13
12,13,3
12,4,5
12,5,4
12,4,7
12,7,4
12,5,6
12,6,5
12,5,10
12,10,5
12,6,7
12,7,6
12,7,8
12,8,7
12,8,38
12,38,8
12,9,10
12,10,9
12,9,12
12,12,9
12,12,13
12,13,12
12,13,14
12,14,13
12,14,15
12,15,14
12,15,16
12,16,15
12,15,18
12,18,15
12,15,20
12,20,15
12,15,23
12,23,15
12,16,17
12,17,16
12,16,26
12,26,16
12,20,21
12,21,20
12,21,22
12,22,21
12,22,23
12,23,22
12,22,35
12,35,22
12,24,25
12,25,24
12,25,26
12,26,25
12,25,27
12,27,25
12,25,28
12,28,25
12,27,28
12,28,27
12,1,29
12,29,1
12,5,30
12,30,5
12,9,31
12,31,9
12,11,10
12,10,11
12,11,12
12,12,11
12,18,19
12,19,18
12,18,32
12,32,18
12,19,33
12,33,19
12,21,34
12,34,21
12,24,36
12,36,24
12,28,37
12,37,28
13,0,1
13,1,0
13,0,38
13,38,0
13,1,2
13,2,1
13,1,24
13,24,1
13,2,3
13,3,2
13,2,17
13,17,2
13,3,4
13,4,3
13,3,13
13,13,3
13,4,5
13,5,4
13,4,7
13,7,4
13,5,6
13,6,5
13,5,10
13,10,5
13,6,7
13,7,6
13,7,8
13,8,7
13,8,38
13,38,8
13,9,10
13,10,9
13,9,12
13,12,9
13,12,13
